Account_Length,Vmail_Message,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,CustServ_Calls,Day_Calls,Day_Charge,Eve_Calls,Eve_Charge,Night_Calls,Night_Charge,Intl_Calls,Intl_Charge,mins_use,customer_value,charge_rate,Intl_Plan,Vmail_Plan,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
0.3801652892561984,0.0,0.4689281641961232,0.6348638988177069,0.34077461000537923,0.4950000000000001,0.4444444444444444,0.5757575757575758,0.4689805499664655,0.5117647058823529,0.6350695567777418,0.4084507042253521,0.3413030484160191,0.15000000000000002,0.4944444444444444,0.4488947980721289,0.4655831739961758,0.5557857808574034,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5123966942148761,0.0,0.3024515393386545,0.4333241682705527,0.4553523399677246,0.405,0.1111111111111111,0.5757575757575758,0.3024815560026828,0.6647058823529411,0.4335166612746684,0.2535211267605634,0.4554692169754931,0.15000000000000002,0.4055555555555555,0.3008143593152734,0.2644086315214422,0.3747518500196421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.475206611570248,0.0,0.4945838084378563,0.5336816057189991,0.4970414201183431,0.81,0.3333333333333333,0.5636363636363636,0.49463447350771295,0.4470588235294117,0.5338078291814947,0.5563380281690141,0.4973102211595936,0.5,0.8092592592592592,0.4992521189961776,0.5025949194209232,0.5436365036982052,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30991735537190085,0.0,0.580387685290764,0.4445971954907891,0.4107046799354492,0.42,0.0,0.3696969696969697,0.5803152246814219,0.7470588235294118,0.444516337754772,0.4507042253521126,0.41123729826658695,0.15000000000000002,0.4203703703703704,0.4420807711484127,0.48634252936356204,0.6107218778303023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6115702479338844,0.0,0.5909350057012543,0.5455045367060765,0.24448628294782135,0.43,0.1111111111111111,0.696969696969697,0.5908786049631121,0.4823529411764706,0.5454545454545454,0.35211267605633795,0.24447101016138675,0.2,0.4296296296296296,0.4065148745221872,0.5001365747063644,0.7083088119409977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16115702479338845,0.0,0.6912770809578107,0.640362936486115,0.3518020441097364,0.48,0.0,0.496969696969697,0.6913145539906104,0.5705882352941176,0.6405693950177936,0.3732394366197183,0.3520621637776449,0.35000000000000003,0.4796296296296296,0.5886654478976234,0.6503687517071839,0.6705874966139034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21074380165289255,0.0,0.5826681870011403,0.7511685455045367,0.4206562668101129,0.55,0.1111111111111111,0.5878787878787879,0.5826626425217974,0.7529411764705882,0.7512131996117761,0.5985915492957746,0.4208009563658099,0.25,0.55,0.6348678743559915,0.6294728216334335,0.5627277944017732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19421487603305787,0.0,0.6841505131128849,0.387682155622766,0.2842926304464766,0.355,0.1111111111111111,0.5333333333333333,0.6841046277665996,0.6882352941176471,0.38790035587188615,0.7323943661971831,0.2845188284518828,0.45,0.3555555555555555,0.390061492438092,0.5132477465173451,0.7709693379476676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4669421487603306,0.0,0.5761117445838084,0.5380808358537256,0.7224314147391071,0.665,0.2222222222222222,0.6060606060606061,0.5761234071093226,0.6,0.5380135878356519,0.6126760563380281,0.7226539151225344,0.25,0.6648148148148147,0.6887153066312115,0.6115815350996994,0.4584630740048121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4338842975206612,0.0,0.36659064994298746,0.3684355237833379,0.5040344271113502,0.5700000000000001,0.0,0.5030303030303029,0.3665325285043595,0.6705882352941176,0.36848916208346816,0.5633802816901409,0.5044829647340108,0.1,0.5703703703703703,0.3290676416819013,0.3124829281617045,0.43743307052431146,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
